A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,bin
3.9058755625118993e-07,2.7896734443429784e-07,7.309015259330004e-08,7.413590109209996e-08,4.98461077983798e-08,1.8025494328050166e-08,1.4175651562674125e-08,4.6479726334030026e-08,1.755928102830005e-08,3.132650770807988e-08,3.9209607481975163e-07,2.7761691666370643e-07,test
7.132205792816131e-07,9.753211858326134e-07,7.308094035669996e-08,7.41024549733e-08,4.984677823292993e-08,1.8026314008149972e-08,1.405272675802507e-08,4.6490341260929883e-08,1.7558164873999846e-08,3.131351377874983e-08,7.44436923426913e-07,1.276324485426221e-06,test
5.095775570131709e-07,1.527649255287301e-07,7.309205361510004e-08,7.413068730199996e-08,4.984595287021991e-08,1.802545243620998e-08,1.4127145188713966e-08,4.6484291534940036e-08,1.7558378699700088e-08,3.131962909820984e-08,5.172673542138418e-07,1.482817031700507e-07,test
9.583417961871318e-07,9.806295966698834e-07,7.30830948062e-08,7.409251005529992e-08,4.984709501799986e-08,1.8026984971300014e-08,1.396795970032379e-08,4.650069190062998e-08,1.7557211167699978e-08,3.143736944740996e-08,1.3560982983122847e-06,1.3684122641024915e-06,test
7.72797104361193e-07,3.7236500935537897e-07,7.308668126900015e-08,7.41105954527e-08,4.984548633392005e-08,1.8025239804959813e-08,1.4023048577841808e-08,4.6492720697239996e-08,1.7556683090499903e-08,3.1313622921959884e-08,8.196572849608954e-07,3.726575699209853e-07,test
6.967989132643228e-07,8.721093190233778e-07,7.30784010006e-08,7.410398465780008e-08,4.984600333806995e-08,1.80252231255199e-08,1.405411668108691e-08,4.6488599942639927e-08,1.7557390074999965e-08,3.131177264241981e-08,7.248441730010806e-07,9.184179675546124e-07,test
4.513695234143299e-07,9.769025796666857e-07,7.308245913490005e-08,7.411828792749992e-08,4.9847385567369856e-08,1.8026489667469936e-08,1.4157856287218093e-08,4.648131195741994e-08,1.755996092689997e-08,3.1323952092190094e-08,4.5571505335059383e-07,1.2995232806968713e-06,test
8.1051928354194e-07,9.713578921445553e-07,7.307994024379997e-08,7.409718001980003e-08,4.9846516081619884e-08,1.80260596518097e-08,1.4014204896219788e-08,4.649360283231001e-08,1.755738584169997e-08,3.1317609828250045e-08,8.726209483289584e-07,1.2286071639160786e-06,test
8.063053025177189e-07,9.721167626879096e-07,7.30800945658e-08,7.409740309010002e-08,4.984649943614006e-08,1.802617359385972e-08,1.4016013712092928e-08,4.649344284744993e-08,1.755744894629998e-08,3.131725023466997e-08,8.663981362126319e-07,1.2367824484907353e-06,test
9.49735316082674e-07,4.6807663779334003e-07,7.308546745659988e-08,7.41011547953001e-08,4.9845525930989906e-08,1.8025448133479966e-08,1.3961363657979768e-08,4.649955234877986e-08,1.7555815230699977e-08,3.140719135433989e-08,1.2735207553431586e-06,4.7032560324394447e-07,test
4.979699338076618e-07,9.092799642141086e-07,7.307898105869999e-08,7.411508075590006e-08,4.984643132649998e-08,1.8025377616459907e-08,1.4134042377046796e-08,4.6481673625349824e-08,1.755886336170002e-08,3.131937715138989e-08,5.049290340237642e-07,9.803489087009514e-07,test
